strategy,gamma,time_ms,throughput_edges_per_sec,speedup_vs_exact,light_pct,heavy_pct,cls_ms,exact_ms,hll_ms
all_exact_input_kernel,,108.6812,394283756,1.00,100,0,,,
all_exact_sorted_kernel,,219.9972,194780849,0.4940,100,0,,,
all_hll_kernel,,321.2903,133372353,0.3383,0,100,,,
hybrid_g32,32,195.5963,219080017,0.5556,80.81,19.19,36.6100,56.4470,102.5393
hybrid_g64,64,137.0194,312738480,0.7932,93.10,6.90,33.2308,72.1971,31.5914
hybrid_g128,128,115.6843,370415163,0.9395,98.44,1.56,31.3201,77.8844,6.4799
hybrid_g256,256,109.0939,392792173,0.9962,99.90,0.10,31.0436,77.6284,0.4219
