strategy,gamma,time_ms,throughput_edges_per_sec,speedup_vs_exact,light_pct,heavy_pct,cls_ms,exact_ms,hll_ms
all_exact_input,,107.7043,397859955,1.00,100,0,,,
all_exact_sorted,,215.7547,198610867,0.4992,100,0,,,
all_hll,,258.0971,166027556,0.4173,0,100,,,
hybrid_g32,32,191.0426,224302049,0.5638,80.81,19.19,36.9111,54.8844,99.2471
hybrid_g64,64,133.6259,320680587,0.8060,93.10,6.90,32.9514,70.4164,30.2582
hybrid_g128,128,112.7762,379967051,0.9550,98.44,1.56,31.2535,75.2507,6.2720
hybrid_g256,256,105.3665,406687365,1.0222,99.90,0.10,30.6237,74.3383,0.4045
